"model","ll","k","AIC","dAIC","AICw"
"ETD1",-2482.89689221234,6,4977.79378442469,140.205072596274,3.58802382612882e-31
"CTD1",-2447.71657070844,6,4907.43314141687,69.8444295884556,6.81514058487141e-16
"ETD2",-2477.78473103866,6,4967.56946207733,129.98075024891,5.95715234463176e-29
"CTD2",-2412.79435591421,6,4837.58871182842,0,0.999999999999999
"CR",-2490.9038430875,3,4987.807686175,150.21897434659,2.40084532840736e-33
