"sp","migrant","area","HWI","family","hwi"
"Molothrus_aeneus","Migrant",223.665029896615,38.3670535072404,"Icteridae",25.50486118
"Molothrus_ater","Migrant",1371.80997805821,51.0112052708286,"Icteridae",38.07434113
"Molothrus_bonariensis","Non-migrant",1135.2446161967,44.2614464595912,"Icteridae",31.44459861
"Molothrus_rufoaxillaris","Non-migrant",425.978840305949,39.5869451711493,"Icteridae",26.84873622
"Myioborus_brunniceps","Non-migrant",9.98668672233512,28.2412466382603,"Parulidae",15.00183256
"Myioborus_flavivertex","Non-migrant",0.436256421905562,28.0828197226502,"Parulidae",14.92827398
"Myioborus_melanocephalus","Non-migrant",15.3320591861352,29.1245355892992,"Parulidae",16.12833583
"Myioborus_miniatus","Non-migrant",105.633227890892,30.780726325618,"Parulidae",17.42832572
"Myioborus_ornatus","Non-migrant",3.23572846778446,29.0964305280995,"Parulidae",15.90902212
"Myioborus_pictus","Migrant",101.548864821275,34.6310291492773,"Parulidae",21.54230846
"Myioborus_torquatus","Non-migrant",0.433161046043357,30.983386376829,"Parulidae",17.71330491
"Myiothlypis_basilica","Non-migrant",0.071725946142551,29.1724061644293,"Parulidae",15.929989952
"Myiothlypis_bivittata","Non-migrant",9.85442912784547,23.2043315862414,"Parulidae",10.04336729
"Myiothlypis_cinereicollis","Non-migrant",2.97298859838646,29.4608522988851,"Parulidae",16.34871955
"Myiothlypis_conspicillata","Non-migrant",0.577453121691962,31.6108981376565,"Parulidae",18.68525263
"Myiothlypis_coronata","Non-migrant",34.3291937929059,25.7181326171438,"Parulidae",12.42258744
"Myiothlypis_flaveola","Non-migrant",343.949552329136,27.0970126571829,"Parulidae",14.16796146
"Myiothlypis_fulvicauda","Non-migrant",202.448185109134,32.7533528983547,"Parulidae",19.70702524
"Myiothlypis_leucoblephara","Non-migrant",143.558937289849,28.3801993306138,"Parulidae",15.27203628
"Myiothlypis_rivularis","Non-migrant",74.1684511187585,34.0413201343604,"Parulidae",20.95159671
"Myiothlypis_signata","Non-migrant",13.8010871640953,19.9869011414533,"Parulidae",12.22819869
"Oporornis_agilis","Migrant",624.350751014332,47.0009165401674,"Parulidae",33.71545984
"Oreothlypis_gutturalis","Non-migrant",0.322206083399727,37.1608647382099,"Parulidae",23.95323158
