"sp","longitude","latitude","country"
"Pharomachrus mocinno",-92.997362,17.188338,"MX"
"Pharomachrus mocinno",-93.115098,17.194436,"MX"
"Pharomachrus mocinno",-93.115784,17.193616,"MX"
"Pharomachrus mocinno",-93.114239,17.193452,"MX"
"Pharomachrus mocinno",-93.246123,15.8511,"MX"
"Pharomachrus mocinno",-92.819496,15.621725,"MX"
"Pharomachrus mocinno",-93.59059,16.151608,"MX"
"Pharomachrus mocinno",-93.58823,16.105406,"MX"
"Pharomachrus mocinno",-92.70566,15.51935,"MX"
"Pharomachrus mocinno",-93.21358,15.866053,"MX"
"Pharomachrus mocinno",-92.132034,15.117205,"MX"
"Pharomachrus mocinno",-92.69804,15.522998,"MX"
"Pharomachrus mocinno",-92.809265,15.657227,"MX"
"Pharomachrus mocinno",-92.70269,15.524465,"MX"
"Pharomachrus mocinno",-93.06943,15.769497,"MX"
"Pharomachrus mocinno",-92.70114,15.522262,"MX"
"Pharomachrus mocinno",-93.07032,15.794404,"MX"
"Pharomachrus mocinno",-93.07768,15.772458,"MX"
"Pharomachrus mocinno",-93.12242,17.19318,"MX"
"Pharomachrus mocinno",-92.69524,15.521667,"MX"
"Pharomachrus mocinno",-92.14057,15.12557,"MX"
"Pharomachrus mocinno",-93.06426,15.800368,"MX"
"Pharomachrus mocinno",-93.600235,16.082113,"MX"
"Pharomachrus mocinno",-92.833435,15.590062,"MX"
"Pharomachrus mocinno",-93.11479,17.194965,"MX"
"Pharomachrus mocinno",-93.08527,17.206255,"MX"
"Pharomachrus mocinno",-91.693886,16.099792,"MX"
"Pharomachrus mocinno",-92.803085,15.797092,"MX"
"Pharomachrus mocinno",-93.14573,17.168747,"MX"
"Pharomachrus mocinno",-92.939255,15.717815,"MX"
"Pharomachrus mocinno",-93.61427,16.198393,"MX"
"Pharomachrus mocinno",-92.698524,15.523008,"MX"
"Pharomachrus mocinno",-93.110419,17.194638,"MX"
"Pharomachrus mocinno",-93.465,16.268333,"MX"
"Pharomachrus mocinno",-91.701667,16.755,"MX"
"Pharomachrus mocinno",-92.778333,17.306667,"MX"
"Pharomachrus mocinno",-91.703333,16.755,"MX"
"Pharomachrus mocinno",-93.413333,15.806667,"MX"
"Pharomachrus mocinno",-92.904722,17.179722,"MX"
"Pharomachrus mocinno",-93.285556,16.865,"MX"
"Pharomachrus mocinno",-92.939255,15.720895,"MX"
"Pharomachrus mocinno",-93.079616,17.157885,"MX"
"Pharomachrus mocinno",-93.013013,17.176684,"MX"
"Pharomachrus mocinno",-93.082906,17.186058,"MX"
"Pharomachrus mocinno",-93.104694,17.201853,"MX"
"Pharomachrus mocinno",-93.138505,17.16938,"MX"
"Pharomachrus mocinno",-93.123415,17.189863,"MX"
"Pharomachrus mocinno",-93.129235,16.756932,"MX"
"Pharomachrus mocinno",-93.032235,17.007487,"MX"
"Pharomachrus mocinno",-93.040505,17.19375,"MX"
"Pharomachrus mocinno",-93.125595,17.186164,"MX"
"Pharomachrus mocinno",-93.164216,17.045404,"MX"
"Pharomachrus mocinno",-92.182048,15.134865,"MX"
"Pharomachrus mocinno",-93.121927,17.186145,"MX"
"Pharomachrus mocinno",-93.123388,17.184938,"MX"
"Pharomachrus mocinno",-93.121771,17.184016,"MX"
"Pharomachrus mocinno",-93.084246,17.206046,"MX"
"Pharomachrus mocinno",-92.80606,15.656498,"MX"
"Pharomachrus mocinno",-92.809135,15.657844,"MX"
